post_id,local_filename,entity_keywords_od,entity_keywords_full,scene_keywords,style_keywords,entity_count_od,entity_count_full,scene_count,style_count,caption,detailed_caption,post_title,post_score,bot_ai_percent
1nsv2qa,1nsv2qa_1522cb9ae9f8efc7.jpg,cat; handbag; knife,background; bag; body; cat; closure; color; corner; countertop; fabric; handbag; illustration; image; kitchen; knife; leg; painting; pouch; side; spot; surface; table; wall; zipper,room,illustration,3,23,1,1,"The image shows a small zipper bag with a painting of a cat on it, sitting on a table with a knife beside it. In the background, there is a wall.","The image is of a small zipper pouch with a small illustration of a kitten on it. The kitten is orange and brown in color with white spots on its body and legs. It is sitting on a white surface with a black zipper on the top right corner. The background is blurred, but it appears to be a kitchen countertop with a knife and fork on the left side. The pouch is made of a light-colored fabric and has a zipper closure.",,0,
1nmf1ks,1nmf1ks_ae2b454770b92da6.jpg,grapefruit; hat; person,background; camera; durian; environment; exterior; front; fruit; grapefruit; grass; greenery; ground; hand; hat; image; leaf; person; photo; pole; seed; shirt; spiky; straw; tree; watermark,outdoor,photograph,3,24,1,1,"The image shows a man wearing a hat, holding a durian fruit in front of a tree. The ground is covered with grass and dried leaves, and there are watermarks on the image.","The image shows an elderly man wearing a straw hat and a blue shirt, sitting under a tree. He is holding a large durian fruit in his hands and is smiling at the camera. The durian is hanging from a wooden pole and has a large, round, spiky exterior with small, white seeds scattered throughout. The background is filled with other trees and greenery, suggesting that the photo was taken in a tropical or subtropical environment.",,0,
1nn3tfi,1nn3tfi_bebc7f18cc4632a5.jpg,chicken; poster,another; background; beak; bottom; cartoon; center; chicken; color; comb; competition; expression; fence; group; house; image; left; line; metal; middle; person; picture; poster; right; rooster; shirt; sign; sky; text; that; top; tree,plain_background,cartoon,2,31,1,1,"The image shows a wooden fence with a sign that reads ""Relax We're All Crazy"" and a picture of a group of chickens on it. In the background, there is a tree, a house, and a clear blue sky.","The image is a rectangular metal sign hanging on a wooden fence. The sign has a white background with black text that reads ""Relax We're All Crazy"" and ""It's Not Competition"". Below the text, there are six cartoon chickens of different colors - one is a rooster, another is a chicken, the third is a yellow chicken, and the fourth is a black chicken. The chickens are arranged in a line, with the rooster in the center, the chicken on the left, the roosters on the right, the chickens in the middle, and one on the bottom. The rooster has a red comb on its head and a yellow beak. The chicken on top is wearing a blue and white striped shirt and has a mischievous expression on its face.",,0,
1npoas3,1npoas3_d8f82f96b77b02f4.jpg,fancy dress; person; poster; suit; tie,atmosphere; background; both; bottom; dress; fancy dress; flower; garden; greenery; hand; image; keanu; meme; old; peace; person; photo; plant; poster; reeves; side; sign; suit; text; they; tie; tuxedo; veil; wedding; who; wife; year; years,garden,photograph,5,33,1,1,"The image shows Keanu Reeves and his wife, both of them smiling, with the text ""Keanu Reeves Got Married at 61 Years Old"" at the bottom. In the background, there are plants with flowers, creating a romantic atmosphere.","The image is a meme featuring a photo of Keanu Reeves and his wife, who are married at 61 years old. Keanu is on the left side of the image, wearing a black tuxedo and bow tie, and the wife on the right side is wearing a white wedding dress with a veil. They are both smiling and making a peace sign with their hands. The background is a garden with white flowers and greenery. The text on the image reads ""Keanu Reeves got married at 6 years old.""",,0,
1nkr9ym,1nkr9ym_b1133db44a301651.jpg,horse,background; body; building; coat; color; crested; distance; dog; ear; eye; fur; horse; image; leg; look; mane; mood; person; side; sky; surface; table; tail; that; top; tree; water,blurred_background,,1,27,1,0,"The image shows a Chinese Crested dog standing on top of a wooden table, with a blurred background. The dog has a white coat with a thick, shaggy coat of fur that is typically white in color. Its ears are perked up and its eyes are alert, giving it a curious and inquisitive look.","The image is of a Chinese Crested dog standing on a wooden surface. The dog is light brown in color with a white mane and tail. It is standing upright with its front legs slightly apart and its head turned slightly to the side. The background is blurred, but it appears to be a body of water with trees and buildings in the distance. The sky is overcast and the overall mood of the image is peaceful and serene.",,0,
1nrjmzk,1nrjmzk_056bd72ce7e54be6.jpg,car; mirror,area; background; body; bush; car; cat; chair; four; grass; image; mirror; panther; plant; rearview; reflection; side; sky; tail; tree; water,park,,2,20,1,0,"The image shows a black panther standing in the back seat of a car, surrounded by lush green grass, plants, and trees, with a body of water in the background and a clear blue sky above.","The image shows a black cat walking on the side of a car. The car is parked in a wooded area with trees and bushes in the background. The cat is walking towards the right side of the image, with its tail curled around its body. It appears to be walking on all fours. The reflection of the cat can be seen in the rearview mirror of the car.",,0,
1nt6p8q,1nt6p8q_0998dac6735b455b.jpg,person,aesthetic; arm; background; blood; bottom; center; cross; design; eagle; front; hand; image; imagery; ink; periphery; peripherys; person; plant; room; shape; shield; side; skull; song; sword; symbol; text; that; top; variety; wall; warrior,indoor; room,black_and_white,1,32,2,1,"The image shows a person's hand with a black and white tattoo of a viking warrior on it. The tattoo is intricate and detailed, with a variety of shapes and symbols that make it stand out. The text at the top and bottom of the image adds to the overall aesthetic.","The image is a black and white tattoo on someone's arm. The tattoo is titled ""My ""Blood Eagle"" inspired tattoo"" and is by far my favorite Periphery song, and this entire arm will get covered in Peripherys themed imagery. It features a detailed design of a skull, a sword, and a shield, all in black ink. The skull is in the center of the tattoo, with the sword and shield on either side. The shield is on the left side of the arm, with a cross on top. The sword is crossed over the shield, and the shield is in front of it. The background is blurred, but it appears to be a room with a white wall and a plant.",,0,
1nuyw6n,1nuyw6n_9e0a8c9ebb586e8c.jpg,footwear; person; scarf,back; background; backpack; bag; boot; bun; coat; contrast; expression; footwear; ground; hair; hand; image; jacket; mood; path; person; scarf; she; shoe; sky; snow; surrounding; white; wintery,snowy,,3,26,1,0,"The image shows a woman walking in the snow with a backpack, wearing a green jacket, scarf, and shoes. The background is a stark white, creating a stark contrast between the woman and her surroundings.","The image shows a young woman walking on a snowy path. She is wearing a green coat, a red scarf, and brown boots. She has a backpack on her back and is holding a red bag in her left hand. Her hair is tied up in a messy bun and she has a serious expression on her face. The background is a light blue sky and the ground is covered in snow. The overall mood of the image is cold and wintery.",,0,
1nxr0ms,1nxr0ms_11f064c8052b28b6.jpg,shelf,background; bag; basket; bird; book; color; flower; hand; illustration; image; item; letter; object; picture; plant; shelf; store; stores; style; text; top; tote; variety; vas; vase; word,shop,black_and_white; drawing; illustration; minimalist,1,26,1,4,"The image shows a tote bag with a picture of a store on it. The bag is decorated with a variety of items, including flower vases, a bird, and other objects. The text on the bag reads ""Stores"".","The image is a black and white illustration of a store shelf with various items on it. The shelf is filled with books, plants, and other decorative items. On top of the shelf, there is a vase with flowers, a bird, and a basket. The word ""STORES"" is written in bold letters above the shelf. The background is a light beige color. The illustration is done in a simple, hand-drawn style.",,0,
1npaqxw,1npaqxw_21eb9c0558ece174.jpg,christmas tree; pillow,acquisti; acquistii; background; cartellino; christmas; christmas tree; color; con; couch; cuscino; description; design; each; english; image; italian; mano; nataliizio; natalizio; nuovo; paper; pattern; photograph; pillow; pine; plant; price; protezione; protezzo; row; shape; sofa; tag; text; that; throw; tree; venduto; which; €,plain_background,photograph,2,40,1,1,"The image shows a pillow with a festive design of Christmas trees on it, placed on a sofa with a plant in the background. The text on the pillow reads ""Cuscino Nataliizio"" which translates to ""Christmas Tree Pillow"" in English.","The image is a photograph of a decorative throw pillow on a couch. The pillow is square in shape and has a white background. On the pillow, there are six small pine trees arranged in a row, each with a different color - green, yellow, and white. The trees are made of paper and are arranged in an intricate pattern. The text on the pillow reads ""Venduto"" which translates to ""Cuscino natalizio"" in English. Below the text, there is a description of the pillow in Italian that reads ""40 x 40 cm - Nuovo con cartellino - Mano"". The pillow also has a price tag of €7,00 € and a description that says ""Include la Protezione acquisti"" which is Italian for ""Included with the Protezzo acquistii"".",,0,
1npu5c5,1npu5c5_5d0fa49ffe953bef.jpg,monkey,angle; background; ball; chimpanzee; cup; deck; door; fence; front; gorilla; grass; hand; hind; image; leg; monkey; object; plant; rock; sky; tree,,,1,21,0,0,"The image shows a gorilla sitting on its hind legs in front of a glass door, surrounded by plants, grass, a rock, a tree, and the sky. The gorilla appears to be playing with a ball, as if it is trying to catch it.","The image shows a chimpanzee standing on its hind legs on a wooden deck. The chimpanzee is holding a small object in its hands and appears to be reaching up towards the sky. The background shows a wooden fence and some plants. The image is taken from a low angle, looking up at the chimpanzee.",,0,
1np1v6h,1np1v6h_ace81318e92ce606.jpg,cat; person; picture frame,background; bed; bottom; cat; checkmark; color; corner; couch; cushion; dress; eye; frame; gold; heart; icon; image; lap; painting; person; picture frame; pillow; she; shoulder; text; that,,painting,3,25,0,1,"The image shows a woman laying on a bed with a black cat perched on her shoulder. She is wearing a yellow dress and there is a pillow behind her. At the bottom of the image, there is text that reads ""Find similar"".","The image is a painting of a young woman sleeping on a green couch with a black cat curled up on her lap. The woman is wearing a yellow dress and has her eyes closed. The cat is black and is resting its head on the woman's shoulder. The background is a light blue color and the couch is covered with a green cushion. The painting is framed in a gold-colored wooden frame. There are three icons on the top right corner of the image - a heart, a heart icon, and a checkmark. The text ""Find similar"" is written below the image.",,0,
1nwogyh,1nwogyh_1f745540e2fafd1d.jpg,pig; skull,art; background; band; blue; boar; brown; cog; color; dress; expression; feel; gear; hand; hind; illustration; image; leg; mood; paper; person; pig; representation; shade; side; skeleton; skull; staff; steampunk; texture; variety; wheel; which,,black_and_white; illustration,2,32,0,2,"The image shows a skeleton riding a boar with a wheel, which is a representation of the steampunk-inspired art of the band The Boar. The skeleton is wearing a long, flowing dress and has a determined expression on its face, while the boar is a deep, dark brown color with a few lighter shades of brown. The wheel is a large, circular wheel with a variety of gears and cogs, and the skeleton is holding a staff in its right hand. The background is a light, dark blue, giving the image a mysterious and edgy feel.","The image is a black and white illustration of a skeleton and a boar. The skeleton is standing on its hind legs and is holding a large gear wheel in its right hand. The boar is walking ahead of the skeleton, with its front legs stretched out and its head turned to the side. The background is a beige-colored paper with a rough texture. The overall mood of the image is dark and ominous.",,0,
1nsqio7,1nsqio7_b428b47928be0fbe.jpg,person,background; beard; blue; cartoon; collage; color; expression; eye; feel; finger; hand; he; illustration; image; letter; light; mouth; mustache; person; raid; scheme; shirt; sign; style; that,,cartoon; illustration,1,25,0,2,"The image shows a man with a beard and a black shirt holding a sign that reads ""Raid"" in the background of a vibrant red and blue color scheme. The man is animated, giving the image a lively and energetic feel.","The image is a collage of six illustrations of a man with different facial expressions. The background is a dark blue with red and pink lights scattered throughout. The man is wearing a black t-shirt and has a beard and mustache. He is holding up a sign that reads ""RAID"" in white letters. 

In the first illustration, the man is covering his eyes with his hands and has his mouth open, as if he is surprised or shocked. The second illustration shows him with his eyes closed and his hands covering his face. The third illustration shows the man with a surprised expression, and the fourth illustration shows a man holding up his hand with his fingers. The fifth illustration shows another man with his hand on his face, and he is smiling.

The overall style of the illustration is cartoon-like and playful.",,0,
1ntrtgq,1ntrtgq_a7c6894ce1827d32.jpg,poster,border; city; color; conflict; control; country; description; detail; each; east; eastern; egypt; end; gaza; government; image; intensity; israel; legend; line; location; map; mediterranean; middle; poster; process; progress; section; situation; stage; states; strip; symbol; text; that; this; trump; united; war; water; which,city,,1,41,1,0,"The image shows a poster with a map of the end of the Gaza War, with text detailing the war's progress. The map is divided into sections, with each section representing a different stage of the war, such as the Israeli-Gaza border, the Gaza Strip, and the Gaza City border. The text on the poster provides further details about the war and its progress.","The image is a map of the end of Gaza War, which is a conflict between the United States and Israel. The map is divided into different sections, each representing a different country.

The map shows the location of the conflict, with the countries such as Egypt, Israel, and the Middle East visible. The countries are marked with red and blue lines, indicating the intensity of the war. The red lines represent the conflict between Israel and the Israel, while the blue lines represent Israel. 

There is also a legend on the map that explains the different colors and symbols used to represent the different countries. The text on the image reads ""TRUMP: END OF Gaza WAR"" and ""IDF current line of control"". This indicates that the conflict is in the process of being controlled by the Israeli government and that the government is responsible for controlling the conflict. The image also includes a brief description of the situation, which states that the war will continue to continue in the Middle Eastern and Mediterranean Sea.",,0,
1nphnfl,1nphnfl_b532fcf70da036ad.jpg,washing machine,all; background; bottom; brick; cheap; floor; gold; graffiti; image; left; machine; middle; one; painting; room; row; side; style; text; that; trick; wall; washing; washing machine; window,indoor; room,black_and_white; painting,1,25,2,2,"The image shows a laundry room with a wall in the background featuring a painting and text that reads ""Cheap Trick, Cheap Trick, All Washed Up"". The floor is visible at the bottom of the image.","The image shows a laundry room with a brick floor and a wall covered in graffiti that reads ""Cheap Trick, Cheap Trick, All Washed Up"". There are three washing machines in the image - one is white, one is red, and one is gold. The washing machines are arranged in a row, with the white washing machine on the left, the red washing machine in the middle, and the gold washing machine at the bottom. The graffiti is in black and white and appears to be in a graffiti-like style. The walls are painted white and there is a window on the right side of the image.",,0,
1nm5qhx,1nm5qhx_323a79ead4a28d54.jpg,dinosaur; poster,background; city; claw; color; creature; dinosaur; distance; expression; godzilla; image; king; letter; lettering; mix; monsters; mouth; movie; orange; outcropping; poster; scheme; sky; skyline; sun; surface; text; title; tone; tooth; top,city,,2,30,1,0,"The image shows a poster of Godzilla, the King of the Monsters, on a wooden surface. The poster features a large, menacing creature with a menacing expression, surrounded by a fiery orange and yellow background. The text on the poster reads ""Godzilla"" in bold, black lettering.","The image is a poster for the movie ""Godzilla"". It features a large, menacing creature with sharp teeth and sharp claws. The creature appears to be Godzilla, the King of the Monsters, with its mouth open wide and its teeth bared. It is standing on a rocky outcropping with a city skyline in the background. The sky is orange and yellow, and the sun is setting in the distance. The title of the movie is written in bold, yellow letters at the top of the poster. The overall color scheme is dark and ominous, with a mix of orange, yellow, red, and black tones.",,0,
1nvewwu,1nvewwu_caad09467697a455.jpg,person; poster,america; background; center; close; event; expression; fest; film; flags; fright; good; great; hair; horror; image; mouth; neck; orange; person; poster; sale; scary; sense; she; snickers; strip; suspense; text; tickets; up; which,,macro,2,31,0,1,"The image shows a poster for the Six Flags Great America Fright Fest, featuring a woman with a menacing expression on her face, surrounded by a dark background. The text on the poster reads ""Scary Good Sale Tickets as Low as $39"".","The image is a promotional poster for the Six Flags Great America Fright Fest Snickers event. The background is dark blue and the text is in orange and white. In the center of the poster, there is a close-up of a woman's face with long dark hair and a menacing expression. She is holding a large film strip in her mouth, which is wrapped around her neck. The film strip appears to be made up of multiple film strips, creating a sense of horror and suspense. The text on the poster reads ""Scary Good Sale Tickets as low as $39"".",,0,
1nvwmhy,1nvwmhy_db8d49ce2ad05980.jpg,footwear; person,area; audience; back; background; baseball; brick; building; cap; child; clothing; company; cookies; cooky; electronics; footwear; front; girl; image; information; jacket; khaki; pant; partner; partners; person; product; railing; range; reminder; samsung; screen; screenshot; service; shirt; sidewalk; stair; target; technology; text; that; they; use; user,shop,,2,43,1,0,"The image shows a man carrying a child on his back in front of a building, with a screenshot of a mobile screen displaying the text ""Samsung Electronics and its Partners, Use Cookies"". The man is wearing a blue shirt and green pants, while the child is wearing pink and white clothing. The background of the image is a grassy area with a few stairs and a railing.","The image shows a man carrying a young girl on his back. The man is wearing a blue jacket, khaki pants, and a white baseball cap. He is standing on a sidewalk with a brick building in the background. The girl is wearing pink pants and a blue shirt. They are both smiling and appear to be enjoying each other's company.

The image is accompanied by a text that reads ""Samsung Electronics and its partners, use cookies and similar technologies. It's a secure, reliable, and reliable technology that allows users to access and store their products. It also provides information on the best-selling, non-essential technology, and how to use cookies. It is a reminder that the company offers a wide range of products and services to help users reach their target audience.",,0,
1nvn63j,1nvn63j_68589118ae737838.jpg,broccoli,app; bottom; broccoli; brown; button; calorie; carrot; cheese; cooking; cube; easy; food; icon; image; item; join; kraft; link; low; macandcheese; macaroni; noodle; perfection; phone; photo; picture; plate; profile; rice; screen; screenshot; text; that; tofu; top; variety; vegetable; veggie,,photograph,1,38,0,1,"The image shows a screenshot of a mobile screen with a picture of a plate of food on it. The plate is filled with a variety of food items, including rice, vegetables, and tofu. The text on the screen reads ""Easy Low-Calorie Cooking"" and there are several icons at the top of the screen.","The image is a screenshot of a mobile phone screen with a photo of a plate of food. The plate is filled with a variety of food items, including rice, tofu, broccoli, carrots, and noodles. The tofu is golden brown and appears to be cooked to perfection. The broccoli is bright green and looks fresh and healthy. The carrots are orange and are cut into small cubes. The noodles are white and fluffy. The text on the screen reads ""Easy low-calorie plate: baked tofu, rice, and veggies."" Below the text, there is a button that says ""Join"" and a link to join the app. At the bottom of the screen, there are two profile pictures - one of Kraft MacandCheese and the other of Kraft macaroni and cheese.",,0,
1np4bm7,1np4bm7_e068801557ec2038.jpg,bracelet; earrings; heart; person; swimwear,backdrop; background; bikini; black; bottom; bracelet; camera; center; chest; damn; earring; earrings; front; garden; gold; hair; heart; hoop; illustration; image; jon; lil; miami; palm; person; pitbull; setting; she; shirt; sky; swimwear; text; tree; word,garden,digital_art; illustration,5,34,1,2,"The image shows a woman wearing a white t-shirt with the words ""Damn Miami"" printed on it, standing in front of a backdrop of trees.","The image is a digital illustration of a young woman posing in a tropical setting. She is wearing a white t-shirt with the words ""Damn Miami"" written in black across the chest and a red heart in the center. The woman is also wearing black bikini bottoms and gold hoop earrings. She has long dark hair and is smiling at the camera. The background is blurred, but it appears to be a tropical garden with palm trees and a blue sky. The text ""Pitbull"" and ""Lil Jon"" are written in smaller text below the image.",,0,
1nvxw42,1nvxw42_ee64d34165e9686b.jpg,bookcase; house; studio couch; table,book; bookcase; bookshelf; carpet; ceiling; coffee; color; cushion; floor; frame; frank; future; house; image; lamp; living; lloyd; object; panel; part; photo; room; set; side; sofa; speaker; staircase; studio couch; style; table; that; view; wall; water; window; wood; wright,indoor; room,minimalist; modern; painting,4,37,2,3,"The image shows a living room with a sofa set with cushions, a table with books and other objects, a bookshelf with books, a lamp, speakers, a photo frame on the wall, and a large window. The room is designed by Frank Lloyd Wright and is part of the House of the Future.","The image shows a modern living room with a high ceiling and a large window that offers a beautiful view of the ocean. The room is furnished with a white sofa set, a wooden coffee table, and a bookshelf on the right side. The floor is covered with a blue carpet, and there is a wooden staircase leading up to the second floor. The walls are painted in a light color, and the ceiling is made of wood panels. The overall style of the room is minimalistic and contemporary.",,0,
1nx9jjm,1nx9jjm_154680e2abd8d5a7.jpg,person; picture frame,art; background; border; center; color; effect; expression; eye; frame; image; mix; pattern; person; picture; picture frame; piece; portrait; print; purple; rectangle; shape; square; style; wall; wire,indoor,portrait,2,25,1,1,"The image shows a framed picture of a woman's face on a wall, with a mosaic of a person's face in the center. The mosaic is composed of various colors and shapes, creating a unique and eye-catching piece of art.","The image is a framed art print hanging on a black wire wall. The frame is black and has a white border. Inside the frame, there is a colorful portrait of a woman's face made up of small squares and rectangles in various colors. The squares are arranged in a mosaic-like pattern, creating a mosaic effect. The woman's eyes are blue and her expression is peaceful and serene. The background of the portrait is a mix of red, orange, yellow, green, blue, and purple, with a geometric pattern in the center. The overall style of the image is reminiscent of a mosaic or mosaic art piece.",,0,
